"nome","date","newDeaths","deaths","newCases","totalCases","recovered","totalRecovered","populacao","CENTROID_X","CENTROID_Y","deaths_by_totalCases","totalCases_per_100k_inhabitants","deaths_per_100k_inhabitants","meanCases","tendencia_casos","last14AvgCases","meanDeaths","tendencia_obitos","meanRecovered","nrDiasDobraCasos","nrDiasDobraMortes"
"6ª DE","2020-07-01",19,398,850,16495,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.02412852379508942,0,0,593,"Crescendo 3","401|550|415|433|401|424|490|527|553|579|581|588|597|593",15,"Crescendo 3",NaN,16,17
"5ª DE","2020-07-02",60,1054,3331,54102,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.019481719714613138,0,0,2132,"Crescendo 3","1595|1160|1265|1302|1405|1629|1698|1731|1780|1826|1868|1984|1922|2132",34,"Crescendo 3",NaN,15,18
"3ª DE","2020-07-02",8,246,280,11956,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.020575443292070925,0,0,271,"Crescendo 3","207|233|239|211|204|205|220|236|257|260|261|271|287|271",6,"Diminuindo",NaN,0,0
"6ª DE","2020-07-02",19,417,745,17239,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.024189338128661756,0,0,604,"Crescendo 3","550|415|433|401|424|490|527|553|579|581|588|597|593|604",18,"Crescendo 2",NaN,16,17
"5ª DE","2020-07-03",35,1089,3509,57606,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.018904280804082907,0,0,2373,"Crescendo 2","1160|1265|1302|1405|1629|1698|1731|1780|1826|1868|1984|1922|2132|2373",35,"Crescendo 2",NaN,15,18
"3ª DE","2020-07-03",4,250,342,12298,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.020328508700601725,0,0,274,"Crescendo 3","233|239|211|204|205|220|236|257|260|261|271|287|271|274",4,"Diminuindo",NaN,0,0
"6ª DE","2020-07-03",23,440,833,18073,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.024345709068776627,0,0,619,"Crescendo 3","415|433|401|424|490|527|553|579|581|588|597|593|604|619",17,"Crescendo 2",NaN,16,16
"5ª DE","2020-07-04",42,1130,4016,61625,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.018336713995943204,0,0,2664,"Crescendo 2","1265|1302|1405|1629|1698|1731|1780|1826|1868|1984|1922|2132|2373|2664",38,"Crescendo 2",NaN,14,19
"3ª DE","2020-07-04",1,251,450,12746,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.019692452534128355,0,0,297,"Crescendo 3","239|211|204|205|220|236|257|260|261|271|287|271|274|297",4,"Aproximadamente o mesmo",NaN,0,0
"6ª DE","2020-07-04",24,464,798,18873,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.024585386531023153,0,0,648,"Crescendo 3","433|401|424|490|527|553|579|581|588|597|593|604|619|648",19,"Crescendo 2",NaN,16,17
"5ª DE","2020-07-05",41,1171,1894,63522,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.01843455810585309,0,0,2725,"Crescendo 2","1302|1405|1629|1698|1731|1780|1826|1868|1984|1922|2132|2373|2664|2725",39,"Crescendo 3",NaN,14,19
"3ª DE","2020-07-05",4,255,107,12852,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.01984126984126984,0,0,301,"Crescendo 3","211|204|205|220|236|257|260|261|271|287|271|274|297|301",4,"Diminuindo",NaN,0,0
"6ª DE","2020-07-05",8,472,232,19103,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.02470816102182903,0,0,657,"Crescendo 2","401|424|490|527|553|579|581|588|597|593|604|619|648|657",20,"Crescendo 2",NaN,17,17
"5ª DE","2020-07-06",38,1209,2142,65665,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.018411634813066322,0,0,2853,"Crescendo 2","1405|1629|1698|1731|1780|1826|1868|1984|1922|2132|2373|2664|2725|2853",41,"Crescendo 2",NaN,14,19
"3ª DE","2020-07-06",7,262,124,12978,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.020188010479272614,0,0,293,"Crescendo 3","204|205|220|236|257|260|261|271|287|271|274|297|301|293",4,"Diminuindo",NaN,0,0
"6ª DE","2020-07-06",25,497,322,19423,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.025588220151366935,0,0,670,"Crescendo 2","424|490|527|553|579|581|588|597|593|604|619|648|657|670",21,"Crescendo 2",NaN,18,16
"5ª DE","2020-07-07",42,1252,3042,68700,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.018224163027656476,0,0,2885,"Crescendo 2","1629|1698|1731|1780|1826|1868|1984|1922|2132|2373|2664|2725|2853|2885",40,"Crescendo 3",NaN,15,20
"3ª DE","2020-07-07",3,265,366,13345,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.01985762457849382,0,0,292,"Crescendo 3","205|220|236|257|260|261|271|287|271|274|297|301|293|292",4,"Diminuindo",NaN,0,0
"6ª DE","2020-07-07",31,528,1035,20455,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.025812759716450747,0,0,688,"Crescendo 3","490|527|553|579|581|588|597|593|604|619|648|657|670|688",21,"Crescendo 2",NaN,18,16
"5ª DE","2020-07-08",53,1306,2850,71534,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.018257052590376605,0,0,2969,"Crescendo 2","1698|1731|1780|1826|1868|1984|1922|2132|2373|2664|2725|2853|2885|2969",44,"Crescendo 2",NaN,15,19
"3ª DE","2020-07-08",4,269,418,13767,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.01953947846299121,0,0,298,"Crescendo 3","220|236|257|260|261|271|287|271|274|297|301|293|292|298",4,"Diminuindo",NaN,0,0
"6ª DE","2020-07-08",28,556,1328,21790,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.025516291877007803,0,0,756,"Crescendo 3","527|553|579|581|588|597|593|604|619|648|657|670|688|756",23,"Crescendo 3",NaN,16,15
"5ª DE","2020-07-09",53,1359,3254,74796,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.01816942082464303,0,0,2958,"Crescendo 2","1731|1780|1826|1868|1984|1922|2132|2373|2664|2725|2853|2885|2969|2958",43,"Crescendo 2",NaN,15,19
"3ª DE","2020-07-09",8,277,223,13980,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.0198140200286123,0,0,290,"Crescendo 3","236|257|260|261|271|287|271|274|297|301|293|292|298|290",4,"Diminuindo",NaN,0,0
"6ª DE","2020-07-09",37,593,673,22454,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.026409548410082837,0,0,746,"Crescendo 3","553|579|581|588|597|593|604|619|648|657|670|688|756|746",25,"Crescendo 2",NaN,17,14
"5ª DE","2020-07-10",60,1419,3737,78536,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.018068147091779566,0,0,2991,"Crescendo 2","1780|1826|1868|1984|1922|2132|2373|2664|2725|2853|2885|2969|2958|2991",47,"Crescendo 2",NaN,15,19
"3ª DE","2020-07-10",9,286,243,14226,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.02010403486573879,0,0,276,"Crescendo 3","257|260|261|271|287|271|274|297|301|293|292|298|290|276",5,"Diminuindo",NaN,0,0
"6ª DE","2020-07-10",40,633,804,23264,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.02720942228335626,0,0,742,"Crescendo 3","579|581|588|597|593|604|619|648|657|670|688|756|746|742",28,"Crescendo 2",NaN,17,15
