"country","state","city","ibgeID","deaths","totalCases","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","_source","date","newCases","newDeaths","lat","lon","nrDiasDobraCasos","nrDiasDobraMortes"
"Brazil","RS","Mariano Moro/RS","4312005","0","1","0.00000","49.23683","0.00000","SES","2020-05-23","0","0","-27.3541972","-52.1469053",0,0
"Brazil","TO","Marianópolis do Tocantins/TO","1712504","0","3","0.00000","57.97101","0.00000","MS","2020-05-23","0","0","-9.7962503","-49.6547174",0,0
"Brazil","AL","Maribondo/AL","2704807","1","15","7.53920","113.08806","0.06667","SES","2020-05-23","1","0","-9.5808649","-36.3040574",0,0
"Brazil","RJ","Maricá/RJ","3302700","20","201","12.40641","124.68441","0.09950","MS","2020-05-23","0","1","-22.9196772","-42.8184375",0,0
"Brazil","PR","Marilena/PR","4115002","0","10","0.00000","141.32278","0.00000","MS","2020-05-23","0","0","-22.7358333","-53.04",0,0
"Brazil","PR","Marilândia do Sul/PR","4114906","0","1","0.00000","11.31734","0.00000","MS","2020-05-23","0","0","-23.744681","-51.30516",0,0
"Brazil","ES","Marilândia/ES","3203353","0","8","0.00000","62.33928","0.00000","MS","2020-05-23","0","0","-19.4117824","-40.5442916",0,0
"Brazil","PR","Maringá/PR","4115200","6","101","1.41621","23.83953","0.05941","MS","2020-05-23","0","0","-23.425269","-51.9382078",0,0
"Brazil","MG","Maripá de Minas/MG","3140209","0","2","0.00000","67.27212","0.00000","SES","2020-05-23","0","0","-21.6975","-42.959167",0,0
"Brazil","PA","Marituba/PA","1504422","29","301","22.04971","228.86079","0.09635","SES","2020-05-23","14","4","-1.3595306","-48.3361504",0,0
"Brazil","PB","Marizópolis/PB","2509156","1","4","15.11259","60.45036","0.25000","MS","2020-05-23","0","0","-6.8440704","-38.3473088",0,0
"Brazil","PR","Mariópolis/PR","4115309","0","3","0.00000","45.38578","0.00000","MS","2020-05-23","0","0","-26.3517858","-52.5491536",0,0
"Brazil","MG","Marliéria/MG","3140308","0","5","0.00000","123.79302","0.00000","SES","2020-05-23","0","0","-19.711867","-42.7343059",0,0
"Brazil","RS","Marques de Souza/RS","4312054","0","3","0.00000","74.83163","0.00000","SES","2020-05-23","0","0","-29.3275642","-52.0961801",0,0
"Brazil","MG","Martinho Campos/MG","3140506","1","1","7.46938","7.46938","1.00000","SES","2020-05-23","0","0","-19.331945","-45.236666",0,0
"Brazil","RN","Martins/RN","2407401","0","2","0.00000","22.92264","0.00000","MS","2020-05-23","0","0","-6.0892841","-37.9114676",0,0
"Brazil","CE","Martinópole/CE","2307908","0","2","0.00000","17.80468","0.00000","MS","2020-05-23","0","0","-3.2235114","-40.6958832",0,0
"Brazil","SP","Martinópolis/SP","3529203","1","5","3.77915","18.89573","0.20000","SES","2020-05-23","0","0","-22.146153","-51.170949",0,0
"Brazil","SE","Maruim/SE","2804003","0","15","0.00000","87.14344","0.00000","MS","2020-05-23","0","0","-10.7372604","-37.0817469",0,0
