ibgeID,centroid_long,centroid_lat,lon,lat,populacao
3100609,-42.27593524498311,-18.02729110916353,-42.3904573,-17.9968063,13735
2923001,-39.71474570588891,-17.89960427374099,-39.3725471,-17.8907712,43376
2906303,-39.10899391687594,-15.651364448262658,-39.08485321304444,-15.61621745,31099
2205151,-41.25524959909836,-7.893445911387973,-41.2106817,-7.9356495,5741
1722081,-48.001881497903135,-6.911230445865786,-47.9653917,-6.8522727,11683
5107156,-58.45862214919079,-14.929477291273383,-58.3836183,-15.1211207,2732
5200829,-49.61534121253981,-13.842494792933632,-49.2962411,-13.9236199,3812
2310704,-39.149669912508486,-3.8528501331998655,-39.2713219,-3.7952282,37751
3114303,-46.185139648806995,-18.907545535787833,-46.306916,-18.9992327,30329
4320800,-52.537330580976224,-28.83943961882635,-52.5109157,-28.8272467,31002
1503507,-47.39940918725922,-1.8123455674486262,-47.4399687,-1.7709543,32550
2901205,-40.97086335879904,-14.590061786555122,-41.1376308,-14.6134669,22005
4303608,-50.13664460720627,-29.06281167672553,-50.145412,-29.0489517,6431
1717206,-48.24034062318596,-6.738771734844896,-48.2945507,-6.769831,3028
2917409,-42.32220484832809,-14.78484609133636,-42.4328959,-14.8457532,14842
5215652,-51.44094607718622,-16.704337799342472,-51.530084,-16.7456647,3464
2105302,-47.57523401842693,-5.339790757160699,-47.478115,-5.5269279,258682
2921104,-40.28577745314834,-17.3612897708956,-40.2224736,-17.3714581,22688
4104204,-49.61865707588891,-25.292395191007365,-49.5270851,-25.4597726,132002
5000856,-53.865252645005626,-22.062597127129496,-53.7728504,-22.1588196,10780
3166808,-46.65449643093902,-19.159135661898294,-46.6809858,-19.1101839,11582
2109403,-43.365230903779995,-2.70131367899692,-43.4385918,-2.5076725,15315
2910800,-39.03723811758694,-12.189786014959513,-38.9598047,-12.2578934,614872
5213772,-48.731693760539876,-13.146460552668298,-48.6872789,-13.3489998,4479
3154507,-42.99344877602807,-16.05442940766626,-43.049166,-16.006667,9481
2915007,-41.0404170599017,-13.091749297458833,-40.9661685,-12.9794728,16056
2107902,-43.758401104986696,-6.152673657234201,-43.775511,-6.177451,19019
3509908,-48.008642997632286,-25.01877557324747,-47.9315628,-25.0104609,12540
